1 Aquarii A,-155.6875,-95,145.21875
1 Epsilon Equulei,-127.125,-77.90625,94.28125
1 G. Aquarii,-144.40625,-108.8125,161.875
1 G. Caeli,80.90625,-83.53125,-30.8125
1 Geminorum,19.78125,3.5625,-153.8125
1 Hydrae,60.90625,28.53125,-54.90625
1 i Centauri,38.46875,29.78125,40.46875
1 Kappa Cygni,-117.75,37.78125,11.1875
1 Omicron Tauri,-21.875,-177.40625,-229.625
1 Pegasi,-137.0625,-56.34375,48.21875
10 Arietis,-79.09375,-88.21875,-105.875
10 Canum Venaticorum,-9.375,55.4375,-7
10 Delta Coronae Borealis,-73.0625,130.03125,81.6875
10 G. Canis Majoris,96.5625,-38.28125,-80.3125
10 Hydrae,123.46875,99.78125,-138.3125
10 Iota Cygni,-116.375,32.03125,12.625
10 Kappa Pegasi,-102.40625,-39.75,19.9375
10 Leonis,139.875,158.46875,-125.0625
10 Leonis Minoris,17.09375,137.78125,-122.28125
10 Pi-6 Orionis,265.9375,-375.875,-825.71875
10 Rho-3 Eridani,10.96875,-107.375,-82.0625
10 Serpentis,-10.03125,90.125,92.59375
10 Tauri,3.25,-29.9375,-34.1875
10 Theta Piscium,-93.59375,-115.375,0.15625
10 Ursae Majoris,0.03125,34.90625,-39.09375
10 Virginis,106.8125,211.90625,20.875
100 Aquarii,-58.5625,-235.46875,53.25
100 Herculis A,-170.71875,78.8125,129.9375
101 Tauri,12.0625,-35.375,-127.78125
102 G. Canis Major,101.21875,-20.03125,-68.28125
102 Iota Tauri,3.3125,-34.34375,-169.28125
102 Pi Piscium,-47.46875,-86.09375,-58.625
103 G. Capricorni,-65.21875,-159.53125,139.25
106 l Tauri,8.90625,-36.96875,-185.6875
106 Nu Piscium,-117.125,-296.65625,-173.84375
107 Aquarii,-60.53125,-228.5,33.875
108 Herculis,-146.34375,59.1875,93
109 Herculis,-87.96875,31.09375,73.78125
109 n Tauri,12.3125,-34.8125,-244.53125
109 Piscium,-51.40625,-69.1875,-62.15625
109 Virginis,6.0625,106.09375,82.40625
11 Aquarii,-53.59375,-46.0625,53.8125
11 Aquilae,-113.84375,11.09375,108.90625
11 Cephei,-167.3125,43.96875,-57.875
11 Delta Delphini,-186.15625,-64.9375,104.75
11 Epsilon Hydrae,74.53125,62.6875,-85
11 Leonis Minoris,3.78125,27.71875,-24.34375
11 Librae,18.75,163.03125,144.375
11 Mu Aurigae,-30,0.75,-150.03125
11 Phi Herculis,-131.625,148.78125,46.3125
11 Virginis,56.6875,131.75,8
110 Herculis,-48,10.875,38.75
110 Virginis,-1.125,147.90625,127.71875
111 Herculis,-70.375,14.21875,61.0625
111 Tauri,6.0625,-7.90625,-45.875
111 Xi Piscium,-49.65625,-157.46875,-95.34375
112 Piscium,-26.34375,-89.53125,-56.875
114 G. Aquilae,-97.0625,-28.28125,79.15625
119 G. Aquarii,-60.8125,-148,90.375
12 Andromedae,-123.46875,-49.625,-32.09375
12 Aquarii,-57.0625,57.03125,68.8125
12 d Bootis,-19.5,115.8125,33.1875
12 D Hydrae,200.875,77.21875,-117.15625
12 G. Canis Minoris,85.90625,30.4375,-148.0625
12 Gamma-1 Delphini,-104.5625,-36.03125,55.59375
12 Kappa Arietis,-82.78125,-108.1875,-120.125
12 Kappa Ursae Majoris,-33.0625,240.84375,-263.375
12 Lambda Coronae Borealis,-76.15625,103.4375,43.3125
12 Lyncis,-78.75,83.90625,-181.3125
12 Ophiuchi,-6.84375,14.8125,27.28125
12 Persei,-42.84375,-23.6875,-61.90625
12 Sextantis,118.46875,133.1875,-79.5
12 Trianguli,-77.15625,-76.8125,-120.6875
12 Virginis,53.25,154.65625,4.875
122 Tauri,25.84375,-20.1875,-155.0625
123 Zeta Tauri,46.59375,-39.03125,-440.8125
127 G. Canis Majoris,107.875,-9.625,-84.34375
128 Carinae,102.34375,-25.625,28.65625
128 G. Aquilae,-151.1875,-62.40625,138.03125
128 G. Capricorni,-81.125,-158,113.875
13 Ceti,-25.6875,-63.34375,-11.75
13 Delta Serpentis,-47.0625,168.40625,146.4375
13 G. Antlia,240.84375,39.53125,-14.1875
